prior7,gid,id,name,team,opp,dateISO,rest,p1,p3,p7,previous,consecutive,entry,margin,inherited,baseline,p_bfp,p_k,ubb,pitches,y,modelChange
"[0, 17.0, 0, 0, 15.0, 15.0, 0]",SEA202504090,abreb002,Bryan Abreu,HOU,SEA,2025-04-09,1,0.000000,30.000000,47.000000,15.000000,0,9,2,0,0.147541,8,0,2,30.000000,-0.250000,0.038522
"[15.0, 15.0, 0, 30.0, 0, 0, 0]",HOU202504130,abreb002,Bryan Abreu,HOU,ANA,2025-04-13,3,0.000000,0.000000,60.000000,30.000000,0,7,3,2,0.123077,5,3,0,23.000000,0.600000,-0.520409
"[0, 30.0, 0, 0, 0, 23.0, 0]",SLN202504150,abreb002,Bryan Abreu,HOU,SLN,2025-04-15,1,0.000000,23.000000,53.000000,23.000000,0,8,2,0,0.140741,4,0,0,19.000000,0.000000,-0.106155
"[0, 0, 23.0, 0, 19.0, 0, 0]",HOU202504180,abreb002,Bryan Abreu,HOU,SDN,2025-04-18,2,0.000000,19.000000,42.000000,19.000000,0,8,1,0,0.136691,4,2,0,15.000000,0.500000,0.196305
"[0, 23.0, 0, 19.0, 0, 0, 15.0]",HOU202504190,abreb002,Bryan Abreu,HOU,SDN,2025-04-19,0,15.000000,15.000000,57.000000,15.000000,1,8,1,0,0.146853,4,1,1,15.000000,0.000000,-0.863838
"[19.0, 0, 0, 15.0, 15.0, 0, 0]",HOU202504220,abreb002,Bryan Abreu,HOU,TOR,2025-04-22,2,0.000000,15.000000,49.000000,15.000000,0,8,4,0,0.142857,3,2,0,13.000000,0.666667,0.029069
"[0, 0, 15.0, 15.0, 0, 0, 13.0]",HOU202504230,abreb002,Bryan Abreu,HOU,TOR,2025-04-23,0,13.000000,13.000000,43.000000,13.000000,1,8,2,0,0.153333,4,1,0,15.000000,0.250000,-0.669197
"[0, 13.0, 15.0, 0, 0, 0, 0]",HOU202504280,abreb002,Bryan Abreu,HOU,DET,2025-04-28,4,0.000000,0.000000,28.000000,15.000000,0,7,1,1,0.155844,1,1,0,5.000000,1.000000,0.008531
"[13.0, 15.0, 0, 0, 0, 0, 5.0]",HOU202504290,abreb002,Bryan Abreu,HOU,DET,2025-04-29,0,5.000000,5.000000,33.000000,5.000000,1,8,4,0,0.161290,5,1,1,15.000000,0.000000,-0.593697
"[0, 0, 5.0, 15.0, 0, 0, 0]",CHA202505030,abreb002,Bryan Abreu,HOU,CHA,2025-05-03,3,0.000000,0.000000,20.000000,15.000000,0,8,5,0,0.156250,4,2,1,15.000000,0.250000,0.091288
"[15.0, 0, 0, 0, 15.0, 0, 0]",MIL202505060,abreb002,Bryan Abreu,HOU,MIL,2025-05-06,2,0.000000,15.000000,30.000000,15.000000,0,8,-1,0,0.158537,3,3,0,16.000000,1.000000,0.350865
"[0, 0, 0, 15.0, 0, 0, 16.0]",MIL202505070,abreb002,Bryan Abreu,HOU,MIL,2025-05-07,0,16.000000,16.000000,31.000000,16.000000,1,8,5,0,0.173653,3,0,0,6.000000,0.000000,-0.485936
"[0, 15.0, 0, 0, 16.0, 6.0, 0]",HOU202505090,abreb002,Bryan Abreu,HOU,CIN,2025-05-09,1,0.000000,22.000000,37.000000,6.000000,0,8,3,0,0.170588,5,2,1,14.000000,0.200000,0.130443
"[16.0, 6.0, 0, 14.0, 0, 0, 0]",HOU202505130,abreb002,Bryan Abreu,HOU,KCA,2025-05-13,3,0.000000,0.000000,36.000000,14.000000,0,9,0,0,0.171429,3,1,0,11.000000,0.333333,-0.119889
