gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp,pitches,entry,score_v,score_h,inherited,suspend,temp,hometeam,year,day,home,margin,absMargin,pitcherRole,suspended,relief,rest,p1,p3,p7,previous,consecutive,ubb,net,y,priorRelief,prior_net,prior_p_bfp,baseline,doubleAppearance,restGroup,b2b,rest1,rest2,heavyYesterday,threeDays,p3_10,p7_10,month
COL202307180,abadf001,COL,3,value,4,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000000,,,,,,20230718,0,DEN02,h,HOU,1,0,0,regular,y,y,27.000000,4,3,3,0,,88,COL,2023,2023-07-18,1,0,0,True,False,True,9,0.000000,0.000000,0.000000,20.000000,0,1,-1,-0.166667,5,0,26,0.119048,False,3+ days,0,0,0,0,0,0.000000,0.000000,7
PHI202307010,abboc001,WAS,6,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20230701,0,PHI13,v,PHI,0,1,0,regular,y,y,20.000000,7,4,19,0,,86,PHI,2023,2023-07-01,0,-15,10,True,False,True,4,0.000000,0.000000,77.000000,77.000000,0,0,0,0.000000,5,5,52,0.131579,False,3+ days,0,0,0,0,0,0.000000,7.700000,7
WAS202307040,abboc001,WAS,2,value,9,0,14,6,0,0,1,2,2,2,0,0,0,0,0,0,1,2,1,0,,,,,,,20230704,0,WAS11,h,CIN,0,1,0,regular,y,y,46.000000,6,6,2,0,,83,WAS,2023,2023-07-04,1,-4,4,True,False,True,2,0.000000,20.000000,20.000000,20.000000,0,2,-2,-0.142857,6,5,56,0.128205,False,2 days,0,0,1,0,0,2.000000,2.000000,7
WAS202307060,abboc001,WAS,7,value,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,1.000000,,20230706,0,WAS11,h,CIN,0,1,0,regular,y,y,15.000000,10,5,3,0,,88,WAS,2023,2023-07-06,1,-2,2,True,False,True,1,0.000000,46.000000,66.000000,46.000000,0,1,1,0.333333,7,3,70,0.105882,False,1 day,0,1,0,0,0,4.600000,6.600000,7
CHN202307190,abboc001,WAS,5,value,1,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230719,0,CHI11,v,CHN,0,1,0,regular,y,y,10.000000,8,3,4,3,,77,CHN,2023,2023-07-19,0,-1,1,True,False,True,3,0.000000,0.000000,37.000000,37.000000,0,0,1,0.500000,9,4,73,0.109827,False,3+ days,0,0,0,0,0,0.000000,3.700000,7
WAS202307240,abboc001,WAS,3,value,5,0,10,3,0,0,0,2,2,2,0,1,1,1,1,0,0,0,0,0,,,,,1.000000,,20230724,0,WAS11,h,COL,0,1,0,regular,y,y,43.000000,8,6,1,2,,85,WAS,2023,2023-07-24,1,-5,5,True,False,True,4,0.000000,0.000000,10.000000,10.000000,0,2,-1,-0.100000,10,5,75,0.114286,False,3+ days,0,0,0,0,0,0.000000,1.000000,7
NYN202307280,abboc001,WAS,4,value,3,0,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230728,0,NYC20,v,NYN,0,1,0,regular,y,y,22.000000,8,1,5,0,,87,NYN,2023,2023-07-28,0,-4,4,True,False,True,3,0.000000,0.000000,43.000000,43.000000,0,1,0,0.000000,11,4,85,0.102703,False,3+ days,0,0,0,0,0,0.000000,4.300000,7
NYN202307300,abboc001,WAS,4,value,3,0,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230730,0,NYC20,v,NYN,0,1,0,regular,y,y,19.000000,8,2,5,0,,77,NYN,2023,2023-07-30,0,-3,3,True,False,True,1,0.000000,22.000000,65.000000,22.000000,0,1,0,0.000000,12,4,90,0.100000,False,1 day,0,1,0,0,0,2.200000,6.500000,7
PHI202308090,abboc001,WAS,2,value,6,0,9,1,0,0,0,1,1,1,0,4,1,1,0,0,0,0,0,0,,,,,,,20230809,0,PHI13,v,PHI,0,1,0,regular,y,y,41.000000,6,0,6,0,,86,PHI,2023,2023-08-09,0,-6,6,True,False,True,9,0.000000,0.000000,0.000000,19.000000,0,1,3,0.333333,13,4,96,0.096939,False,3+ days,0,0,0,0,0,0.000000,0.000000,8
WAS202308110,abboc001,WAS,2,value,4,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.000000,,,,,,20230811,0,WAS11,h,OAK,1,0,0,regular,y,y,23.000000,4,2,2,0,,82,WAS,2023,2023-08-11,1,0,0,True,False,True,1,0.000000,41.000000,41.000000,41.000000,0,1,0,0.000000,14,7,105,0.107317,False,1 day,0,1,0,0,0,4.100000,4.100000,8
