id,day,game_pk,statcastRows,trackedPitches,velocity,ffN,gid,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp,pitches,entry,score_v,score_h,inherited,suspend,temp,hometeam,year,home,margin,absMargin,pitcherRole,suspended,relief,rest,p1,p3,p7,previous,consecutive,ubb,net,y,priorRelief,_v,prior_net,prior_p_bfp,baseline,doubleAppearance,restGroup,b2b,rest1,rest2,heavyYesterday,threeDays,p3_10,p7_10,month,difference,priorFFN,priorV,deltaV,dateISO,name
barnj002,2025-04-19,778258,37,37,95.33,10.0,TOR202504190,TOR,6,value,3,0,8,3,0,0,1,5,4,2,0,1,0,0,0,0,0,0,0,0,,1.0,,,1.0,,20250419,0,TOR02,h,SEA,0,1,0,regular,y,y,37.0,12,3,3,1,,68,TOR,2025,1,0,0,True,False,True,4,0.0,0.0,18.0,18.0,0,2,-1,-0.125,5,8,3,28,0.140625,False,3+ days,0,0,0,0,0,0.0,1.8,4,0.0,4,93.79076923076923,1.5392307692307696,2025-04-19,Jacob Barnes
burrr002,2024-07-14,747176,15,15,94.64,5.0,ARI202407140,TOR,4,value,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20240714,0,PHO01,v,ARI,1,0,0,regular,y,y,15.0,7,8,7,0,,77,ARI,2024,0,1,1,True,False,True,1,0.0,10.0,28.0,10.0,0,1,0,0.0,6,3,5,26,0.15873015873015872,False,1 day,0,1,0,0,0,1.0,2.8,7,0.0,3,93.65213675213676,0.9878632478632454,2024-07-14,Ryan Burr
burrr002,2024-07-25,744907,35,35,93.46666666666665,12.0,TOR202407250,TOR,3,value,3,0,7,2,2,0,0,4,4,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20240725,0,TOR02,h,TBA,0,1,0,regular,y,y,35.0,6,7,0,2,,76,TOR,2024,1,-7,7,True,False,True,1,0.0,6.0,17.0,6.0,0,2,-1,-0.14285714285714285,10,7,6,34,0.15671641791044777,False,1 day,0,1,0,0,0,0.6,1.7,7,0.0,4,93.89910256410256,-0.4324358974359086,2024-07-25,Ryan Burr
burrr002,2024-07-30,747005,12,12,94.5,5.0,BAL202407300,TOR,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20240730,0,BAL12,v,BAL,0,1,0,regular,y,y,12.0,6,1,6,0,,79,BAL,2024,0,-5,5,True,False,True,4,0.0,0.0,41.0,35.0,0,0,1,0.3333333333333333,11,3,5,41,0.14184397163120568,False,3+ days,0,0,0,0,0,0.0,4.1,7,0.0,5,93.81261538461538,0.6873846153846159,2024-07-30,Ryan Burr
burrr002,2024-07-31,747003,19,19,94.45,10.0,BAL202407310,TOR,3,value,3,0,5,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,,,20240731,0,BAL12,v,BAL,0,1,0,regular,y,y,19.0,6,4,9,0,,90,BAL,2024,0,-5,5,True,False,True,0,12.0,12.0,47.0,12.0,1,1,2,0.4,12,5,6,44,0.14583333333333334,False,0 days,1,0,0,0,0,1.2,4.7,7,0.0,6,94.06594871794871,0.38405128205128847,2024-07-31,Ryan Burr
burrr002,2024-08-03,745714,23,23,94.35,10.0,NYA202408030,TOR,3,value,3,0,6,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20240803,0,NYC21,v,NYA,0,1,0,regular,y,y,23.0,7,3,6,0,,90,NYA,2024,0,-3,3,True,False,True,2,0.0,19.0,31.0,19.0,0,2,-1,-0.16666666666666666,13,6,8,49,0.15436241610738255,False,2 days,0,0,1,0,0,1.9,3.1,8,0.0,7,94.11133333333333,0.23866666666665992,2024-08-03,Ryan Burr
burrr002,2024-08-07,744903,13,13,94.36,5.0,TOR202408070,TOR,3,value,2,0,4,2,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,,,20240807,0,TOR02,h,BAL,0,1,0,regular,y,y,13.0,7,2,3,0,,74,TOR,2024,1,1,1,True,False,True,2,0.0,13.0,55.0,13.0,0,0,1,0.25,15,4,7,58,0.13924050632911392,False,2 days,0,0,1,0,0,1.3,5.5,8,0.0,8,94.28133333333332,0.07866666666667754,2024-08-07,Ryan Burr
burrr002,2024-08-10,744897,19,19,94.10000000000001,6.0,TOR202408100,TOR,2,value,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20240810,0,TOR02,h,OAK,0,1,0,regular,y,y,19.0,6,1,0,1,,73,TOR,2024,1,-1,1,True,False,True,2,0.0,13.0,49.0,13.0,0,0,3,0.75,16,4,8,62,0.1419753086419753,False,2 days,0,0,1,0,0,1.3,4.9,8,0.0,9,94.22533333333334,-0.1253333333333302,2024-08-10,Ryan Burr
burrr002,2024-08-19,744898,21,21,93.22857142857143,7.0,TOR202408190,TOR,2,value,3,0,6,3,3,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20240819,0,TOR02,h,CIN,0,1,0,regular,y,y,21.0,6,2,2,2,,65,TOR,2024,1,0,0,True,False,True,0,11.0,11.0,24.0,11.0,1,0,2,0.3333333333333333,19,6,13,72,0.16279069767441862,False,0 days,1,0,0,0,0,1.1,2.4,8,0.0,10,94.352,-1.123428571428576,2024-08-19,Ryan Burr
burrr002,2024-08-31,745859,10,10,94.04,5.0,MIN202408310,TOR,4,value,3,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1.0,,20240831,0,MIN04,v,MIN,1,0,0,regular,y,y,10.0,9,15,0,0,,82,MIN,2024,0,15,15,True,False,True,2,0.0,3.0,23.0,3.0,0,0,1,0.25,21,4,15,79,0.16759776536312848,False,2 days,0,0,1,0,0,0.3,2.3,8,0.0,11,94.09771428571428,-0.057714285714268954,2024-08-31,Ryan Burr
burrr002,2024-09-03,744891,11,11,94.8,5.0,TOR202409030,TOR,7,value,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.0,,20240903,0,TOR02,h,PHI,0,1,0,regular,y,y,11.0,9,10,8,0,,69,TOR,2024,1,-2,2,True,False,True,2,0.0,10.0,13.0,10.0,0,0,0,0.0,22,2,16,83,0.16939890710382513,False,2 days,0,0,1,0,0,1.0,1.3,9,0.0,12,94.01571428571428,0.7842857142857156,2024-09-03,Ryan Burr
burrr002,2024-09-04,744887,19,19,94.09,10.0,TOR202409040,TOR,4,value,3,0,5,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,1.0,,20240904,0,TOR02,h,PHI,0,1,0,regular,y,y,19.0,9,3,2,0,,74,TOR,2024,1,-1,1,True,False,True,0,11.0,11.0,24.0,11.0,1,0,1,0.2,23,5,16,85,0.16756756756756758,False,0 days,1,0,0,0,0,1.1,2.4,9,0.0,13,94.1057142857143,-0.015714285714295784,2024-09-04,Ryan Burr
burrr002,2024-09-07,747076,18,18,94.64999999999999,6.0,ATL202409070,TOR,2,value,3,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20240907,0,ATL03,v,ATL,1,0,0,regular,y,y,18.0,7,6,1,0,,78,ATL,2024,0,5,5,True,False,True,2,0.0,19.0,40.0,19.0,0,1,1,0.25,24,4,17,90,0.16842105263157894,False,2 days,0,0,1,0,0,1.9,4.0,9,0.0,14,94.05171428571428,0.5982857142857085,2024-09-07,Ryan Burr
burrr002,2024-09-14,744884,11,11,94.35000000000001,6.0,TOR202409140,TOR,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20240914,0,TOR02,h,SLN,1,0,0,regular,y,y,11.0,8,1,7,0,,68,TOR,2024,1,6,6,True,False,True,4,0.0,0.0,48.0,30.0,0,0,1,0.3333333333333333,25,3,18,94,0.17010309278350516,False,3+ days,0,0,0,0,0,0.0,4.8,9,0.0,15,94.16171428571428,0.18828571428572616,2024-09-14,Ryan Burr
burrr002,2024-09-17,744961,19,19,94.0,6.0,TEX202409170,TOR,2,value,2,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20240917,0,ARL03,v,TEX,0,1,0,regular,y,y,19.0,4,3,7,2,,74,TEX,2024,0,-4,4,True,False,True,2,0.0,11.0,11.0,11.0,0,1,1,0.25,26,4,19,97,0.17258883248730963,False,2 days,0,0,1,0,0,1.1,1.1,9,0.0,16,94.386,-0.3859999999999957,2024-09-17,Ryan Burr
burrr002,2024-09-24,744876,17,17,94.92,5.0,TOR202409240,TOR,3,value,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20240924,0,TOR02,h,BOS,0,1,0,regular,y,y,17.0,7,0,3,2,,68,TOR,2024,1,3,3,True,False,True,1,0.0,28.0,56.0,28.0,0,0,1,0.3333333333333333,28,3,22,104,0.18137254901960784,False,1 day,0,1,0,0,0,2.8,5.6,9,0.0,17,94.378,0.5420000000000016,2024-09-24,Ryan Burr
burrr002,2024-09-27,744879,13,13,94.14999999999999,6.0,TOR202409270,TOR,4,value,3,0,4,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20240927,0,TOR02,h,MIA,0,1,0,regular,y,y,13.0,8,14,5,0,,68,TOR,2024,1,-9,9,True,False,True,2,0.0,17.0,54.0,17.0,0,0,2,0.5,29,4,23,107,0.18357487922705315,False,2 days,0,0,1,0,0,1.7,5.4,9,0.0,18,94.402,-0.25200000000000955,2024-09-27,Ryan Burr
cabrg001,2024-04-27,744946,16,16,97.06,5.0,TOR202404270,TOR,2,value,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20240427,0,TOR02,h,LAN,0,1,0,regular,y,y,16.0,7,4,0,0,,68,TOR,2024,1,-4,4,True,False,True,2,0.0,12.0,21.0,12.0,0,0,0,0.0,9,4,3,39,0.12949640287769784,False,2 days,0,0,1,0,0,1.2,2.1,4,0.0,3,95.2088888888889,1.8511111111111092,2024-04-27,Genesis Cabrera
cabrg001,2024-05-03,744868,32,28,94.76666666666667,6.0,WAS202405030,TOR,5,value,2,0,8,2,0,0,0,4,0,3,1,0,0,0,0,1,0,1,0,0,,,,,,,20240503,0,WAS11,v,WAS,0,1,0,regular,y,y,28.0,8,3,5,0,,64,WAS,2024,0,-2,2,True,False,True,2,0.0,5.0,42.0,5.0,0,2,-2,-0.25,12,8,5,51,0.13245033112582782,False,2 days,0,0,1,0,0,0.5,4.2,5,4.0,4,95.67166666666667,-0.9050000000000011,2024-05-03,Genesis Cabrera
cabrg001,2024-05-20,744935,22,22,96.44285714285715,7.0,TOR202405200,TOR,3,value,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,,,,,20240520,0,TOR02,h,CHA,1,0,0,regular,y,y,22.0,8,3,7,0,,74,TOR,2024,1,4,4,True,False,True,2,0.0,6.0,17.0,6.0,0,2,-2,-0.4,18,5,5,76,0.11363636363636363,False,2 days,0,0,1,0,0,0.6,1.7,5,0.0,5,95.49066666666667,0.9521904761904807,2024-05-20,Genesis Cabrera
